"Restaurant name","Average stars","Number of reviews",Cuisine,Address,latitude,longitude
"Arizona Sandwich Co",4.0,1,"Sandwiches, Restaurants","1775 W University Dr
Ste 130
Tempe, AZ 85281",33.420941,-111.966874
"Beaver Choice",4.3,3,"Polish, Scandinavian, Restaurants","1743 E Broadway
Tempe, AZ 85282",33.407162,-111.910357
"Boulders On Broadway",4.4,5,"Pubs, Bars, American (Traditional), Nightlife, Restaurants","530 W Broadway
Tempe, AZ 85281",33.407561,-111.947525
"Casey Moore's Oyster House",4.3,39,"Bars, Seafood, Irish, Pubs, Nightlife, Restaurants","850 S Ash Ave
Tempe, AZ 85281",33.420571,-111.942444
"Classic Italian Pizza",5.0,2,"Pizza, Restaurants","1030 E Baseline Rd
#156
Tempe, AZ 85283",33.379421,-111.923529
"Cornish Pasty Company",4.5,4,"Pubs, Bars, Nightlife, British, Restaurants","960 W University Dr
Tempe, AZ 85281",33.422728,-111.951494
"Delhi Palace Cuisine of India",4.0,1,"Pakistani, Indian, Buffets, Restaurants","933 E University Dr
Ste 103
Tempe, AZ 85281",33.42135,-111.924806
"Desert Roots Kitchen",4.7,3,"Vegetarian, Gluten-Free, Vegan, Restaurants","414 S Mill Ave
Ste 111
Tempe, AZ 85281",33.425938,-111.940346
"Dilly's Deli",4.0,1,"Delis, Sandwiches, Restaurants","414 W University Dr
Tempe, AZ 85281",33.422113,-111.94542
"Essence Bakery Caf?",4.4,10,"Bakeries, Food, Sandwiches, Restaurants","825 W University Dr
Tempe, AZ 85281",33.421792,-111.951184
"Forefathers Gourmet Cheesesteaks & Fries",4.5,2,"Cheesesteaks, Sandwiches, Restaurants","8707 S Priest Dr
Ste 101
Tempe, AZ 85284",33.335156,-111.963117
"Four Peaks Brewing Co",4.6,41,"Bars, Food, Breweries, Pubs, Nightlife, American (New), Restaurants","1340 E 8th St
Ste 104
Tempe, AZ 85281",33.419451,-111.915926
Green,5.0,4,"Vegetarian, Vegan, Restaurants","2240 N Scottsdale Rd
Tempe, AZ 85281",33.453787,-111.927166
Guerrero's,5.0,1,"Mexican, Restaurants","2148 E Apache Blvd
Tempe, AZ 85281",33.414972,-111.89411
"House of Tricks",4.4,38,"American (New), Restaurants","114 E 7th St
Tempe, AZ 85281",33.423546,-111.937394
"Jimmy John's",5.0,1,"Food, Food Delivery Services, Delis, Sandwiches, Restaurants","680 S Mill Ave
Tempe, AZ 85281",33.424008,-111.940187
"La Bocca Urban Pizzeria + Wine Bar",4.5,10,"Wine Bars, Bars, Pizza, Nightlife, Restaurants","699 S Mill Ave
Tempe, AZ 85281",33.423441,-111.939622
"Lalibela Ethiopian Cafe",4.5,2,"Ethiopian, Restaurants","849 W University Dr
Tempe, AZ 85281",33.421909,-111.950685
"Lobbys Beef Burgers Dogs",4.7,3,"Burgers, Hot Dogs, American (New), Restaurants","3141 S McClintock Dr
Ste 13
Tempe, AZ 85282",33.39477,-111.908894
"Mission Grille",5.0,1,"American (New), Buffets, Tex-Mex, Restaurants","Tempe Mission Palms Hotel
60 E 5th St
Tempe, AZ 85281",33.436665,-111.940325
"My Big Fat Greek Express",4.0,1,"Greek, Restaurants","227 E Baseline Rd
Tempe, AZ 85283",33.378224,-111.936102
"Oregano's Pizza Bistro",5.0,1,"Italian, Pizza, Restaurants","1475 W Elliot Rd
Tempe, AZ 85284",33.34901,-111.963608
"Oregano's Pizza Bistro",5.0,4,"Italian, Pizza, Restaurants","523 W University Dr
Tempe, AZ 85281",33.421617,-111.946675
"Otto Pizza & Pastry",4.5,2,"Pizza, Restaurants","804 S Ash Ave
Tempe, AZ 85281",33.421437,-111.942512
"Palo Verde Lounge",4.0,1,"Dive Bars, Bars, Nightlife, Lounges, Restaurants","1015 W Broadway Rd
Tempe, AZ 85282",33.407299,-111.954822
Philly's,4.0,4,"American (Traditional), Restaurants","1826 N Scottsdale Rd
Tempe, AZ 85281",33.449818,-111.926611
"Phoenicia Cafe",4.0,1,"Greek, Middle Eastern, Restaurants","616 S Forest Ave
Tempe, AZ 85281",33.423548,-111.936853
"Pita Jungle",4.0,3,"Vegetarian, American (New), Mediterranean, Restaurants","1250 E. Apache Blvd.
Tempe, AZ 85281",33.415035,-111.918472
"Prankster's Gar and Brill",4.0,1,"Dive Bars, Bars, Nightlife, Restaurants","1024 E Broadway Rd
Tempe, AZ 85282",33.40793,-111.923099
RigaTony's,4.0,2,"Restaurants, Italian","1850 E Warner Rd
Tempe, AZ 85284",33.33591,-111.908045
"Rolling Hills Golf Course",5.0,1,"Active Life, American (Traditional), Golf, Restaurants","1415 N Mill Ave
Tempe, AZ 85281",33.444978,-111.948194
"Sacks Art of Sandwicherie",4.0,1,"Sandwiches, Restaurants","35 E 9th St
Tempe, AZ 85281",33.420501,-111.938931
"Sacks Art of Sandwicherie",5.0,1,"Sandwiches, Restaurants","839 W University Dr
Tempe, AZ 85281",33.421752,-111.951356
"Tasty Kabob",4.5,2,"Persian/Iranian, Restaurants","1250 E Apache Blvd
Ste 116
Tempe, AZ 85281",33.415035,-111.918472
"Tasty Thai Restaurant",5.0,1,"Thai, Restaurants","510 W Broadway Rd
Tempe, AZ 85282",33.407391,-111.946774
"Ted's Hot Dogs",4.5,2,"Hot Dogs, Restaurants","1755 E Broadway Rd
Tempe, AZ 85282",33.407163,-111.909649
"Thai Elephant",4.0,1,"Thai, Restaurants","815 W University Dr
Ste 108
Tempe, AZ 85281",33.421453,-111.950563
"The Chuck Box",4.5,6,"Burgers, Restaurants","202 E University Dr
Tempe, AZ 85281",33.421987,-111.936687
"The Keg Steakhouse & Bar",3.0,2,"Steakhouses, Restaurants","23 S McClintock Dr
Tempe, AZ 85281",33.423777,-111.908026
"Wildflower Bread Company",5.0,1,"Bakeries, Food, Sandwiches, Restaurants","6428 S McClintock Rd
Ste 104
Tempe, AZ 85283",33.362444,-111.912417
"Yupha's Thai Kitchen",5.0,1,"Thai, Vegetarian, Restaurants","1805 E Elliot Rd
Ste 115
Tempe, AZ 85284",33.347827,-111.910257
